name,owners,address,city,state,postal,phone,websites,,
COAKLEY CARPET ONE FLOOR & HOME,William Coakley,2535 HWY 68,CANTON,New York,13617,(315) 386-8161,http://www.coakleycarpetonecanton.com,,
COLES FINE FLOORING,George Coles,1170 W MORENA BLVD,SAN DIEGO,California,92110,(619) 276-5140,http://www.colesfineflooring.com,,
"COLOR POT INC, THE",Bill Hewett,1210 N STATE ST,BELLINGHAM,Washington,98225,(360) 734-4020,http://www.thecolorpot.com,,
COLUMBOS FLOORS TO GO,Scott Ehrhardt,2243 PORT SHELDON ST,JENISON,Michigan,49428,(616) 669-6222,http://www.columbosftg.com,,
"COMMUNITY WAREHOUSE, THE",Ray Curtiss,521 S 9TH ST,MILWAUKEE,Wisconsin,53204,(414) 383-7792,http://www.thecommunitywarehouse.org,,
COMPLETELY FLOORED,Bill Missler,3302 SMITH AVE,EVERETT,Washington,98201,(425) 252-2775,http://www.completelyfloored.com,,
"CONKLIN BROS OF SANTA ROSA, INC",Wayne O'Connor,505 B  ST,SANTA ROSA,California,95401,(707) 542-4981,http://www.conklinbrosfloors.com,,
"COOK & KOZLAK FLOORING CENTER, LLC",Karen Cook,220 ALBANY TURNPIKE,CANTON,Connecticut,6019,(860) 693-2202,http://www.cookandkozlak.com,,
CORLEW & PERRY FLOORING AMERICA,Charlie Armour,3017 NOLENSVILLE PIKE,NASHVILLE,Tennessee,37211,(615) 832-0320,http://www.corlewandperryflooring.com,,
COUNTRY SIDE CARPETS FLOORING AMERICA,Tim Schoolfield,1305 TOM GINNEVER,FALLON,Missouri,63366,(636) 978-6466,http://www.faofmo.com,,
"CRAFTSMAN FLOOR COVERINGS, INC",Michael O'Brien,401 E WASHINGTON ST,PETALUMA,California,94952,(707) 778-6608,http://www.craftsmanfloors.com,,
"CREATIVE CARPET, INC",Tammy Bouquet,19420 S LA GRANGE RD,MOKENA,Illinois,60448,(708) 479-8600,http://www.creativecarpetinc.com,,
CSB FLOORING,Chris Buller,9875 S GLENMOOR CT,OAK CREEK,Wisconsin,53154,(414) 902-0905,,,
CUSTOM FLOORS & DRAPES,Dan O'Connor,1113 SUPERIOR AVE,TOMAH,Wisconsin,54660,(608) 372-5356,,,
CUSTOM TILE WORKS INC,John Maher,110 W NACHES AVE,SELAH,Washington,98942,(509) 697-7028,,,
CUSTOM TOUCH INTERIORS LLC,Chellaigne Vert,"13013 NE 20TH ST, SUITE B",BELLEVUE,Washington,98005,(425) 883-0555,http://www.customtouchinteriors.net,,
CW FLOORS,Jeffrey De Rojas,2103 NW LOOP 410,SAN ANTONIO,Texas,78213,(210) 349-1170,http://www.cwfloors.com,,
D & D TILE CO,Richard Repoli,306 TOLLAND ST,EAST HARTFORD,Connecticut,6108,(860) 289-8691,,,
D J FLOORING LLC,JoAnn Street,"621 W 3900 S, STE A-1",SALT LAKE CITY,Utah,84123,(801) 263-8495,http://www.djflooringllc.com,,
"D W INTERIORS, INC",Daniel Warshauer,6205 VAN NUYS BLVD,VAN NUYS,California,91401,(818) 786-0681,http://www.dwinteriorsinc.com,,
DA VINCI FLOORING,Donna Davis,325 RR 620 S #101A,LAKEWAY,Texas,78734,(512) 243-8330,http://www.davinciflooringusa.com,,
"DAVE'S FLOOR TRENDS, INC",Dave Olson,700 E 53RD ST,DAVENPORT,Iowa,52807,(563) 386-7626,http://www.floor-trends.com,,
DEAN FLOORING COMPANY,Kiley Dean,PO BOX 3266,DALTON,Georgia,30719,(706) 529-8808,http://www.deanflooring.com,,
DEETS HOME STORE,Dick Teeslink,2010 S 13TH ST,NORFOLK,Nebraska,68701,(402) 371-7679,http://deetsfurniture.com,,
DELTA FLOORS CARPET ONE,Joseph Kwon,1363 S STATE COLLEGE BLVD,ANAHEIM,California,92806,(714) 758-0030,http://www.deltafloorscarpetoneanaheim.com,,
"DENTON WOOD & FLOORS OUTLET, INC",Morton Allen,1103 DALLAS DR,DENTON,Texas,76205,(940) 320-2222,http://www.woodfloorsoutlet.com,,
DESIGN HARDWOODS INC,Ed Topalian,"2500 FAIRVIEW ST, STE A",SANTA ANA,California,92704,(714) 241-0440,http://www.designhardwoods.com,,
DESIGN INNOVATIONS BY FRANKLIN BUILDING SUPPLY,Jerry Bittick,1786 S TOPAZ WAY,MERIDIAN,Idaho,83642,(208) 898-1740,http://www.franklinbuildingsupply.com,,
DFS FLOORING,Tom Brown,10178 WILLOW CREEK RD,SAN DIEGO,California,92131,(858) 630-5205,,,
DIAMOND CARPETS,Jeff Jacobson,2565 AMERICAN WAY,GRAND JUNCTION,Colorado,5702,(970) 241-8284,http://www.abbeycolo.com,,
DILMAGHANI COMPANY,Dennis Dilmaghani,540 CENTRAL PARK AVE,SCARSDALE,New York,10583,(914) 472-1700,http://www.dilmaghani.com,,
DIMENSIONS CARPET ONE FLOOR & HOME,Cliff Hayes,PO BOX 21117,ST CATHARINES,Ontario,L2M 7X2,(905) 704-1664,http://www.dimensionscarpet1stcatharines.com,,
DISCOUNT CARPET / PRO-FLOOR SYSTEMS,Lou Amabili,358 SNOW HILL RD,SALISBURY,Maryland,21804,(410) 742-1129,http://www.discountcarpet-sby.com,,
"DOBSON FLOORS, INC",Suzanne Brown,2010 EASTGATE DR,GARLAND,Texas,75041,(972) 270-8741,http://www.dobsonfloors.com,,
DON FRANK FLOORS INC,John Duty,PO BOX 14936,PORTLAND,Oregon,936,(503) 235-5447,http://www.donfrankfloors.com,,
DOOLITTLES CARPET & PAINTS INC,Jack Doolittle,1225 HWY 15 SOUTH,FAIRMONT,Minnesota,56031,(507) 238-1155,http://www.doolittlescarpetpaints.com,,
DREXEL INCORPORATED,Amanda Jungbluth,19355 W BLUEMOUND RD,BROOKFIELD,Wisconsin,53045,(262) 786-2250,http://www.drexel-inc.com,,
"EASTON HARDWARE, INC",Eric Clopper,303 N WASHINGTON ST,EASTON,Maryland,21601,(410) 822-0910,,,
ED SELDEN CARPET ONE FLOOR & HOME,Rick Selden,3901 STEILACOOM BLVD SW,LAKEWOOD,Washington,98499,(253) 588-2104,http://www.edseldencarpetone.com,,
ED'S FLOORING AMERICA,Ed Cross,9 BLOSSOM RD,PLAISTOW,New Hampshire,3865,(603) 382-3801,,,
EFLOORS.COM,Judy Marsh,1000 BROOKFOREST AVE,SHOREWOOD,Illinois,60404,(888) 522-5456,http://www.efloors.com,,
EMERSON CARPET ONE,Lee Emerson,11031 COURSEY BLVD,BATON ROUGE,Louisiana,70816,(225) 291-2787,http://www.emersoncarpetonebatonrouge.com,,
"EMPIRE TODAY, LLC",Harvey Nusbaum,333 NORTHWEST AVE,NORTHLAKE,Illinois,60164,(800) 588-2300,,,
EMW CARPET & FURNITURE,Eric Helmstaedter,2141 S BROADWAY,DENVER,Colorado,80210,(303) 744-2754,http://www.emwcarpets.com,,
EUREKA FLOOR CARPET ONE,Mike Jurkovich,2385 MYRTLE AVE,EUREKA,California,95501,(707) 443-9321,http://www.carpetone.com,,
FACTORY FLOORING,Shawn Boroumand,990 VICTORIA ST N,KITCHENER,Ontario,N2B 3C4,(519) 571-0550,,,
FAMILY CARPET N THINGS,Gary Lobnow,600 S BROADWAY,YREKA,California,96097,(530) 841-1500,http://www.familycarpetnthings.com,,
"FASHION FLOORS, INC CARPET ONE",John Hall,305 WEST 7TH ST,SIOUX CITY,Iowa,51103,(712) 252-4382,http://www.carpetone.com,,
FEASTERVILLE FLOOR,John Menarde,410 W STREET RD,FEASTERVILLE TREVOSE,Pennsylvania,19053,(215) 355-4100,http://www.feastervillefloor.com,,
"FEHRENBACH'S FLOORING PLUS, INC",Carol Fehrenbach,15 FOX CREEK DR,REHOBOTH BEACH,Delaware,19971,(302) 664-8772,http://www.fehrenbachs.com,,
FINESSE CARPET ONE,Christine Van De Hei,"20005 HWY 88, STE C",PINE GROVE,California,95665,(209) 296-5950,http://www.finessecarpetonepinegrove.com,,
"FINISHING TOUCH, THE",Cheryl Sowder,174 CENTRAL PARK SQUARE,LOS ALAMOS,New Mexico,87544,(505) 662-3388,,,
FIRST CHOICE ABBEY CARPET,Paul Byer,101 G TOWN & COUNTRY DRIVE,DANVILLE,California,94526,(925) 838-5580,http://www.firstchoiceabbeycarpet.com,,
FLOOR CENTER,Julie Hamernick,1321 RICE ST,ST PAUL,Minnesota,55117,(651) 489-7007,http://www.floor-center.com,,
"FLOOR CONCEPTS, INC",Bruce Ball,4315 KIRKWOOD HWY,WILMINGTON,Delaware,19808,(302) 994-5002,http://www.abbeycarpet.com,,
FLOOR COVERING EXPRESS,Pete Kneeland,3143 BRIDGEPORT WAY W,UNIVERSITY PLACE,Washington,98466,(253) 566-6880,http://www.floorcoveringexpress.com,,
FLOOR COVERINGS INTERNATIONAL,Jeremiah Wynott,"2337 3RD AVE N, STE C",LEWISTON,Idaho,83501,(208) 743-7858,,,
FLOOR DEPOT,Bob Henry,311 SPENCER LANE,SAN ANTONIO,Texas,78201,(210) 734-4300,http://www.floordepotsa.com,,
"FLOOR ELEMENTS, INC",Tom Yarrish,1650 CROFTON BLVD,CROFTON,Maryland,21114,(410) 451-7111,,,
"FLOOR FACTORY INC, THE",Garry Sparks,13 S WENATCHEE AVE,WENATCHEE,Washington,98801,(509) 662-1421,http://www.thefloorfactory.com,,
FLOOR HUT,Creswell Rozario,"2929 CUSTER RD, SUITE 306",PLANO,Texas,75075,(972) 964-2300,http://www.floorhutinc.com,,
FLOOR O PEDICS INC,Bill Palicki,546 DUANE ST,GLEN ELLYN,Illinois,60137,(630) 858-8020,http://www.flooropedics.com,,
FLOOR PROS TILE & STONE,Scherry Hermansen,2626 OLD FAIR RD,GRAND ISLAND,Nebraska,68803,(308) 382-7800,http://www.floorprosgi.com,,
FLOOR QUEST,Tim Twohig,62 N ROLLING MEADOWS DR,FOND DU LAC,Wisconsin,54937,(920) 922-2006,http://www.floorquest.net,,
"FLOOR SHOW LTD, THE",Tara Gudmundson,1042 WAVERLEY ST,WINNIPEG,Manitoba,R3T 0P3,(204) 956-9720,http://www.thefloorshow.ca,,
"FLOOR STORE, THE",Fred Stumpf,904 ROUTE 110,FARMINGDALE,New York,11735,(631) 752-7520,,,
FLOOR TRADER,Jerry Jennings,3000 IOWA ST,LAWRENCE,Kansas,66046,(785) 841-3838,,,
FLOOR TRADER OF GULFPORT,Keith Rhodes,13216 HUGH SEYMOUR LANE,OCEAN SPRINGS,Mississippi,39564,(228) 831-5777,http://www.myfloortrader.com,,
"FLOOR TRADER OF REDDING, INC",Randall Spurgeon,5050 WESTSIDE RD,REDDING,California,96001,(530) 241-6896,http://www.floortraderredding.com,,
FLOORCRAFT CARPET ONE,Philip Lerner,470 BAYSHORE BLVD,SAN FRANCISCO,California,94124,(415) 824-4056,http://www.floorcrafthome.com,,
"FLOORING & MORE, INC",John Molski,2600 MORSE ST,JANESVILLE,Wisconsin,53545,(608) 757-1151,http://www.flooringandmoreinc.com,,
FLOORING 101 INC,Dimitrios Poulos,1660 S OXNARD BLVD,OXNARD,California,93030,(805) 486-8887,http://www.flooring101.com,,
FLOORING AMERICA,David Bailey,2883 McCARTY RD,SAGINAW,Michigan,48603,(989) 799-8190,http://www.flooringamerica.com,,
FLOORING AMERICA - CHANDLER,Dale Schnaible,"6909 W RAY RD, STE 5",CHANDLER,Arizona,85226,(480) 775-0160,,,
FLOORING AMERICA CARPET STUDIO,Scott Kemsley,2865 JOLLY RD,OKEMOS,Michigan,48864,(517) 351-6310,http://www.flooringamericalansing.com,,
FLOORING AMERICA HERNDON,Abe Drissi,2545-Q16 CENTERVILLE RD,HERNDON,Virginia,20171,(703) 793-1144,,,
FLOORING CANADA KELOWNA,Perry Hildebrandt,1788 A BARON RD,KELOWNA,British Columbia,V1X 7G9,(250) 763-1234,http://www.flooringcanadakelowna.ca,,
FLOORING SOLUTIONS,Todd Pospisil,"3206 RAASCH DR, STE 10",NORFOLK,Nebraska,68701,(402) 379-5757,http://www.norfolkflooringsolutions.com,,
FLOORRIGHT INTERIORS LTD,Darryl Moore,2915-32 ST SOUTH,LETHBRIDGE,Alberta,T1K 7B1,(403) 329-1780,http://www.floorright.ca,,
FLOORS & MORE INC,Carlton Billingsley,PO BOX 2560,BENTON,Arkansas,72018,(501) 316-0267,http://www.floorsandmorear.com,,
FLOORS ETC,John Ginsburg,"10709 GILROY RD, STE 150",HUNT VALLEY,Maryland,21031,(410) 329-9680,http://www.floors-etc.com,,
"FLOORS PLUS CARPET ONE, INC",Dennis Dewispelaere,3175 GOLDIE RD,OAK HARBOR,Washington,98277,(360) 679-5570,,,
FLOORS TO YOUR HOME,Brian Kahn,4640 LAFAYETTE RD,INDIANAPOLIS,Indiana,46254,(317) 328-8989,http://www.floorstoyourhome.com,,
"FLOORS-A-LOT, INC",Will Neff,"14712 MERIDIAN AVE E, #8",PUYALLUP,Washington,98375,(253) 446-1616,http://www.floorsalot.com,,
FOGEL'S CARPET & VINYL,Ann Helms,2825 WASHINGTON RD,AUGUSTA,Georgia,30909,(706) 738-9703,http://www.fogelsfinefloors.com,,
FRANEY'S CARPET ONE DESIGN CENTER,Mark Franey,121 N ENCINA,VISALIA,California,93291,(559) 733-9990,http://www.franeysdesigncenter.com,,
FRED'S CARPET,Richard Capobianco,318 LARKFIELD RD,E NORTHPORT,New York,11731,(631) 368-1850,,,
FRED'S CARPETS PLUS,Jerry Butler,2153 W TORRANCE BLVD,TORRANCE,California,90501,(310) 533-8133,http://www.fredscarpetsplus.com,,
G. FRIED CARPET & DESIGN CENTER,Wendy Fried,800 OLD COUNTRY RD,WESTBURY,New York,5419,(516) 333-3900,http://www.gfriedcarpet.com,,
GALLAGHER INTERIORS,Patrick Gallagher,4125 MARKET ST #17,VENTURA,California,93003,(805) 644-7550,,,
GALLERY CARPET ONE FLOOR & HOME,Jeff Glass,8174 N. UNIVERSITY DR,TAMARAC,Florida,33321,(954) 724-8888,http://www.carpetone.com,,
GENESIS FLOORING AMERICA,Michael Kaplan,"577 JOHNSVILLE RD, STE 4",SYKESVILLE,Maryland,21784,(410) 552-6410,http://www.genesisfa.com,,
GENEVA FLOORING,Judy Wells,"9360 ACTIVITY RD, STE D",SAN DIEGO,California,92126,(858) 547-8069,http://www.genevaflooring.com,,
"GEORGE KASHOU CO, INC, THE",Robert Kashou,2169 N FARWELL,MILWAUKEE,Wisconsin,1191,(414) 271-9020,http://www.kashoucarpets.com,,
GEORGE'S CARPET ONE FLOOR & HOME,George Houzouris,303 S ATWOOD RD,BEL AIR,Maryland,21014,(410) 879-6440,http://www.georgesc1.com,,
GIANT CARPET ONE,Barry Sutton,823 S MAIN ST,SALT LAKE CITY,Utah,84111,(801) 363-4563,http://www.carpet1.com,,
GLEN FLOORS,Jerry Capobianco,30 GLEN ST,GLEN COVE,New York,2703,(516) 671-3737,http://www.glenfloors.com,,
"GLINES CARPET ONE, INC",Mike Glines,671-B COLUSA AVE,YUBA CITY,California,95991,(530) 673-1450,,,
GLUTH CONTRACT FLOORING,Dave Gluth,4428 115TH ST SE,EVERETT,Washington,98208,(425) 493-9100,http://www.gcflooring.com,,
GRAYBEAL'S CARPET PLUS LLC,William Graybeal,508 E BROADWAY,LOGANSPORT,Indiana,46947,(574) 722-2215,http://www.thegraymill.com,,
GREAT FLOORS,MORRIS WEATHERFORD,2855 E FAIRVIEW,MERIDIAN,Idaho,83642,(208) 884-1975,http://www.greatfloors.com,,
GREAT FLOORS,Steve Watts,231 E FRANCIS,SPOKANE,Washington,99208,(509) 482-0839,http://www.greatfloors.com,,
GREER'S FLOORING AMERICA,Mel Greer,2201 COVERT AVE,EVANSVILLE,Indiana,47714,(812) 471-0400,,,
HADINGER CARPET CO,Thomas Hadinger,6401 N AIRPORT RD,NAPLES,Florida,34109,(239) 566-7100,http://hadingerflooring.com/,,
HANOVER CARPET ONE,Jim Nesbitt,11601 SHELDON RD,TAMPA,Florida,33626,(813) 920-0706,http://www.hanoverfloors.com,,
HARRIS CARPETS - FLOORING AMERICA,Scott Junkins,51 CIVIC CENTER BLVD,ANDERSON,South Carolina,28625,(564) 225-8631,,,
HARRY KATZ CARPET ONE,Cynthia Sigadel,450 JERICHO TURNPIKE,MINEOLA,New York,1135,(516) 746-1458,http://www.carpetone.com,,
HARRY'S CARPET ONE,Harry Balekjian,PO BOX 192,WOLLASTON,Massachusetts,192,(617) 328-4002,http://www.harryscarpetonequincy.com,,
HATLOE'S CARPET ONE,Steve Hatloe,3701 RUCKER AVE,EVERETT,Washington,98201,(425) 259-5104,http://www.hatloes.com,,
"HAWKIN'S FLOOR CO, INC",Charles Hawkins,"7851 AIR PARK RD, UNIT 213",GAITHERSBURG,Maryland,20879,(301) 948-5520,http://www.hawkinsfloor.com,,
HERITAGE CARPET & FLOORING,Dennis Clay,1440 N MAIN ST,N CANTON,Ohio,44720,(330) 497-1280,http://www.heritage-carpet.com,,
HICKERSON FLOOR & TILE HAUS,Michele Hickerson,2234 M 32 WEST,GAYLORD,Michigan,49735,(989) 731-2003,http://www.hickersonfloor.com,,
HIGHLAND FLOORS,Dennis Ford,4050 S McCARRAN BLVD #F,RENO,Nevada,89502,(775) 828-2112,,,
HIGHWAY FLOORING INC,Ruichuan Yu,140 ETHEL RD W,PISCATAWAY,New Jersey,8854,(732) 287-9979,http://www.bestwoodfloor.com,,
HINELINE HOME FURNITURE,Gary Hineline,2205 23RD ST,HARLAN,Iowa,51537,(712) 755-5118,,,
"HMS ENTERPRISES, INC",Keith Smith,206 N WEICHERT ST,GIRARD,Kansas,66743,(620) 395-2151,http://www.hms-enterprises.com,,
HOME CARPET ONE,Joel Schreier,3071 N LINCOLN AVE,CHICAGO,Illinois,60657,(773) 935-9314,http://www.homecarpet1.com,,
"HOME CARPET WAREHOUSE, INC",Jon Vigre,1793 NE KRESKY AVE,CHEHALIS,Washington,98532,(360) 748-1650,http://www.homecarpet.net,,
HOME-BASED CARPET & FLOORING,Greg Keairns,PO BOX 498869,CINCINNATI,Ohio,45249,(513) 373-8540,http://www.CincinnatiFloorings.com,,
HOMEWORKS CARPET ONE,Warren Hamstead,"8403 COASTAL HWY, STE B",OCEAN CITY,Maryland,2724,(410) 524-5454,http://www.homeworkscarpetone.com,,
"HOOSIER FLOOR COVERING, INC",Mark Dougherty,1180 S LIBERTY DR STE 160,BLOOMINGTON,Indiana,5146,(812) 323-0100,http://www.carpetspluscolortilein.com,,
HOPKINS CARPET ONE,Dan Tillman,907 HOPKINS CTR,HOPKINS,Minnesota,55343,(952) 933-6422,http://www.hopkinscarpetone.com,,
HOSKING HARDWOOD FLOORING,Jeff Hosking,805 S WASHINGTON ST,NORTH ATTLEBORO,Massachusetts,2760,(508) 643-0810,http://www.hoskinghardwood.com,,
"HOUSE OF CARPETS, INC",Tony Porcelli,1135 MONTAUK HWY,MASTIC,New York,11950,(631) 399-1890,,,
"HUSKINS FLOOR COVERING, LLC",Albert Huskins,1723 S HURON RD,KAWKAWLIN,Michigan,48631,(989) 391-9491,,,
IDEAL FLOORS,Kevin Hames,638 E HWY 67,DUNCANVILLE,Texas,75137,(972) 283-6600,http://www.idealfloors.com,,
IMPERIAL FLOORS,Douglas Gubrud,PO BOX 10030,EUGENE,Oregon,97440,(541) 342-5031,http://www.imperialfloors.com,,
INSIDE DESIGN CARPET ONE FLOOR & HOME,Joel McDonald,2101 N DUNCAN DR,WENATCHEE,Washington,98801,(509) 662-9500,http://www.insidedesignc1.com,,
J & S DESIGNER FLOORING,Sima Hakakian,12 MT KEMBLE AVE,MORRISTOWN,New Jersey,7960,(973) 605-5225,http://www.jsdesignerflooring.com,,
J. B. FACTORY CARPETS - BELLEVUE,Ray Glover,13310 BEL RED RD,BELLEVUE,Washington,98005,(425) 644-4777,http://www.flooringamerica.com,,
JACOBI'S CARPET ONE FLOOR & HOME,Timothy Jacobi,PO BOX 881,HASTINGS,Nebraska,68901,(402) 463-3811,http://www.jacobicarpet.com,,
JAN'S ENTERPRISES INC,Carlos Solano,853 FAIRWAY DR,BENSENVILLE,Illinois,1312,(630) 350-0455,http://www.jansflooring.com,,
JOEL'S DECORATING CENTER,Stephen Mathews,1900 CROCKETT RD,PALESTINE,Texas,75801,(903) 729-3333,http://www.joelsdecoratingcenter.com,,
JONES CARPET ONE,Bob Jones,14830 NORTHWEST FREEWAY,HOUSTON,Texas,77040,(713) 466-6611,http://www.jonescarpetone.com,,
KAHULUI CARPET & DRAPERY,Mel Pomroy,296 ALA MAHA ST #Z-3,KAHULUI,Hawaii,96732,(808) 871-1033,,,
KAY RILEY & SONS CAPRET,Hal Riley,96 N 500 WEST,BOUNTIFUL,Utah,84010,(801) 295-0434,http://www.kayriley.com,,
KEHNE'S CARPET ONE,Dick Santora,1306 W PATRICK ST,FREDERICK,Maryland,21703,(301) 662-1261,http://www.carpetone.com,,
KEN'S FLOOR TO CEILING,Ken Walpole,1914 FOURTH ST,SAN RAFAEL,California,94901,(415) 454-5367,http://www.kenscarpets.com,,
KENNY'S FLOOR COVERING CO,Kenneth Schroeder,"3812 N RICHMOND RD, UNIT A",MCHENRY,Illinois,60050,(815) 385-4069,http://www.kennysfloors.com,,
"KERN CARPETS, INC",Rosie Abercrombie,3624 BUCK OWENS BLVD,BAKERSFIELD,California,93308,(661) 391-8100,http://www.kerncarpetsinc.com,,
KERR FLOORS,Willis Kerr,6491 MANTONA ST,LONG BEACH,California,90815,(714) 374-7040,,,
KISS CARPET INC,Ken Roberts,7152 US 131 N,MANCELONA,Michigan,49659,(231) 587-9450,http://www.kisscarpet.com,,
"KOEBERS CARPETS, INC",George Koeber,6700 SW 111TH AVE,BEAVERTON,Oregon,97008,(503) 641-1901,http://www.koebers.com,,
KRAAI FURNITURE CARPET ONE,Dan Kraai,208 ALBANY AVE,ORANGE CITY,Iowa,51041,(712) 737-4923,http://www.kraais.com,,
LA MESA CARPET & LINOLEUM,Mark McDonald,8772 LA MESA BLVD,LA MESA,California,91942,(619) 463-7755,,,
LEBLANC FLOORS,Pieter Sundgren,5030 208TH ST SW #B,LYNNWOOD,Washington,98036,(206) 852-8969,http://www.LeblancFloors.com,,
LEI FLOORING & WINDOW COVERINGS,John Burkett,430 ALAMAHA ST #103,KAHULUI,Hawaii,96732,(808) 871-8008,http://www.leiflooringmaui.com,,
LEIFELD'S FURNITURE,Jennifer Leifeld,429 W MAIN,ALBION,Nebraska,68620,(402) 395-3387,,,
LEVI'S 4 FLOORS,Tyler Levi,6329 BUSCH BLVD,COLUMBUS,Ohio,43229,(614) 846-4441,http://www.levis4floors.com,,
LEWIS FLOOR AND HOME,Steven Lewis,1840 SKOKIE BLVD,NORTHBROOK,Illinois,60062,(847) 835-2400,http://www.lewisfloorandhome.com,,
LIBERTY CARPET ONE,Mark Bisbee,3170-1 DRAPER DR,FAIRFAX,Virginia,5113,(703) 691-1616,http://libertycarpetone.com,,
"LINOLEUM SHOP INC, THE",Mark Caruso,402 W INDIANA AVE,SPOKANE,Washington,99205,(509) 327-6661,,,
LONG'S CARPET & INTERIORS,Daniel Long,4200 11TH ST,ROCK ISLAND,Illinois,6762,(309) 786-3656,http://longscarpet.net,,
LORRAINE FLOOR COVERING INC.,Louis Carillo,47-45 31ST PL,LONG ISLAND CITY,New York,11010,(718) 482-0068,,,
LUX FLOORING SPECIALIST,Armani Mahoozi,PO BOX 4097,OAKTON,Virginia,8497,(703) 352-0042,http://www.luxfloors.com,,
LYNDEN FLOOR & DESIGN CORP,Ben Ryan,2017 FRONT STREET,LYNDEN,Washington,98264,(360) 354-4149,http://www.lyndenfloordesign.com,,
M & L ASSOCIATES,Mike Levin,1160 N DATO LN,WAUCONDA,Illinois,60084,(847) 526-4654,,,
MACADAM FLOOR AND DESIGN,Desirae Schubert,"13028 INTERURBAN AVE S, # 116",TUKWILA,Washington,98168,(206) 658-2000,,,
MAIN FLOOR CARPETS LTD,Ken Straarup,#4-645 SOUTH RAILWAY ST SE,MEDICINE HAT,Alberta,T1A 2V8,(403) 527-9900,http://www.mainfloorcarpets.com,,
MAJESTIC FLOORING & DESIGN,Rod Bradley,4501 CHINDEN,GARDEN CITY,Idaho,83714,(208) 378-9190,http://www.majestic-flooring.com,,
"MAJESTIC FLOORS, INC",Vince Steele,5111 PORT CHICAGO HWY,CONCORD,California,94520,(925) 825-0771,,,
MAJOR BRANDS FLOORS / ABBEY CARPET  & FLOOR,Curt Stiger,2418 1ST AVE S,SEATTLE,Washington,98134,(206) 623-3550,http://www.abbeycarpet.com,,
MALKIN'S CARPETS INC,Marty Schallock,N95 W17055 RICHFIELD WAY,MENOMONEE FALLS,Wisconsin,53051,(262) 255-1400,http://malkinscarpets.com,,
MALOOLY'S FLOORING COMPANY,Georgette Malooly,765 N VALLEY DR,LAS CRUCES,New Mexico,88005,(575) 523-0633,http://www.maloolys.com,,
MARDEN'S INC,David Marden,564 WILSON ST,BREWER,Maine,4412,(207) 989-1750,http://www.mardenssurplus.com,,
"MARTIN GREENBAUM COMPANY, INC",Harvey Greenbaum,7144 AMBASSADOR RD,BALTIMORE,Maryland,21244,(410) 998-1044,http://www.mgcarpet.com,,
MARTINS FLOORING INC,Michael Martin,608 DWIGHT RD,DENVER,Pennsylvania,17517,(717) 445-7799,http://www.martinsflooring.com,,
MARTY'S CONTRACT CARPET,Marty Dixon,191 N EL CAMINO REAL #112,ENCINITAS,California,92024,(760) 436-9030,http://www.contractcarpet.com,,
"MAXIMUM FLOORING, INC",Eugene Coizza,16450 CROSSBAY BLVD,HOWARD BEACH,New York,11414,(718) 843-1010,,,
MC CLINCY'S,Tim McClincy,4604 NE 4TH ST,RENTON,Washington,98059,(425) 228-3427,http://www.mcclincys.com,,
"MC DANIELS, INC",Mike Mc Daniel,PO BOX 1050,CLOVIS,New Mexico,88101,(575) 762-4481,http://www.mcdanielshomefurnishings.com,,
MC KEAN'S FLOOR TO CEILING,Darren McKean,10811 HARRISON ST,OMAHA,Nebraska,68128,(402) 331-4062,http://www.mckeans.com,,
MC LARENS CARPET ONE FLOOR & HOME,Steve McLaren,24403 S HWY 99E,CANBY,Oregon,97013,(503) 266-4095,,,
MCMURDY FLOORS & INTERIORS,Jeanne McMurdy,2166 E CRESCENT PL,CHANDLER,Arizona,85249,(480) 688-8232,,,
"MERTEL CARPETS, INC",Jeff Mertel,4212 REDWOOD HWY,SAN RAFAEL,California,94903,(415) 479-2180,http://www.mertelcarpets.com,,
"MESA FLOOR COVERINGS, INC",Danny Maldonado,729 E HIGH ST,GRANTS,New Mexico,87020,(505) 287-2631,,,
MESSNER CARPETING,Peter Messner,1344 UNIVERSITY AVE,ROCHESTER,New York,14607,(585) 271-5670,http://www.messnercarpet.com,,
"METRO CARPETS, INC",Jeffrey Paul,1286 W 150 S,PRINCETON,Indiana,47670,(812) 385-2279,http://www.metrocarpetsinc.com,,
METRO FLOORING,Nat Koren,7340 MIRAMAR RD #C1A,SAN DIEGO,California,92126,(858) 549-2900,http://www.metroflooring.com,,
MIKE'S CARPET,Mike Rafatjah,11220 BALTIMORE AVE,BELTSVILLE,Maryland,20705,(301) 937-2221,http://www.mikescarpet.com,,
MILBURN CARPET ONE,Charles Colletti,20 35TH ST,COPIAGUE,New York,11726,(631) 842-1600,http://www.carpetone.com,,
"MILLER'S CARPETS, INC",Mark Miller,2228 SAGAMORE PKWY SOUTH,LAFAYETTE,Indiana,47905,(765) 429-8899,http://www.millersflooringamerica.com,,
MIRON'S FOR FLOORS,Dick Miron,PO BOX 85,COHOES,New York,85,(518) 237-1313,http://www.mironsforfloors.com,,
MODERN DESIGN FLOORING LLC,Frank Schultz,846 E. BRANDON BLVD,BRANDON,Florida,33511,(813) 571-5566,http://www.worldoffloorsflorida.com,,
MOHR'S FLOORS,Darrell Mohr,1036 BRYDEN,LEWISTON,Idaho,83501,(208) 798-4738,,,
